# x y nx ny
2.220624749163879752e+00 2.567721504631268026e+00 1.131748483922039028e-01 -9.935750870927680944e-01
2.234002006688963871e+00 2.569088681601828128e+00 9.012818328921458344e-02 -9.959301735448051751e-01
2.247379264214046657e+00 2.570142694289325291e+00 6.693583203129450931e-02 -9.977572823038066696e-01
2.260756521739130331e+00 2.570883542693762180e+00 4.363448821019034335e-02 -9.990475621503888126e-01
2.274133779264214006e+00 2.571311226815136131e+00 2.026172591041753776e-02 -9.997947101596063035e-01
2.287511036789297236e+00 2.571425746653448918e+00 -3.144298832164001568e-03 -9.999950566802088270e-01
2.300888294314381355e+00 2.571227102208699655e+00 -2.654515764626659904e-02 -9.996476152152490302e-01
2.314265551839465029e+00 2.570715293480889230e+00 -4.990246447439134619e-02 -9.987540958811542691e-01
2.327642809364548704e+00 2.569890320470016754e+00 -7.317818958415929498e-02 -9.973188820879632654e-01
2.341020066889631934e+00 2.568752183176083115e+00 -9.633496668435276300e-02 -9.953489710618707020e-01
2.354397324414716053e+00 2.567300881599087425e+00 -1.193363875078918002e-01 -9.928538797912642710e-01
2.367774581939799727e+00 2.565536415739030129e+00 -1.421472788644965179e-01 -9.898455188116067616e-01
2.381151839464882958e+00 2.563458785595910783e+00 -1.647339565296303265e-01 -9.863380371688470483e-01
2.394529096989966632e+00 2.561067991169729829e+00 -1.870644532797480497e-01 -9.823476422932713170e-01
2.407906354515050307e+00 2.558364032460486825e+00 -2.091087168264736673e-01 -9.778923992685421007e-01
2.421283612040133981e+00 2.555346909468182659e+00 -2.308387757923427430e-01 -9.729920141453846094e-01
2.434660869565217212e+00 2.552016622192816442e+00 -2.522288724126721116e-01 -9.676676061135000007e-01
2.448038127090300886e+00 2.548373170634389062e+00 -2.732555614853911519e-01 -9.619414733326052680e-01
2.461415384615384561e+00 2.544416554792899632e+00 -2.938977757866728657e-01 -9.558368570983473145e-01
2.474792642140468235e+00 2.540146774668348151e+00 -3.141368593370953421e-01 -9.493777086101327090e-01
2.488169899665552354e+00 2.535563830260735507e+00 -3.339565702040860895e-01 -9.425884622768959664e-01
2.501547157190636028e+00 2.530667721570060813e+00 -3.533430551033552303e-01 -9.354938190123051056e-01
2.514924414715719259e+00 2.525458448596324068e+00 -3.722847989177563988e-01 -9.281185422642764804e-01
2.528301672240802489e+00 2.519936011339526161e+00 -3.907725517071385379e-01 -9.204872692396628420e-01
2.541678929765886163e+00 2.514100409799666647e+00 -4.087992370430449385e-01 -9.126243388125392375e-01
2.555056187290970282e+00 2.507951643976745970e+00 -4.263598443931027604e-01 -9.045536374859642903e-01
2.568433444816053512e+00 2.501489713870761911e+00 -4.434513090510379119e-01 -8.962984639621562888e-01
2.581810702341137187e+00 2.494714619481717577e+00 -4.600723830229379030e-01 -8.878814123404065173e-01
2.595187959866220861e+00 2.487626360809610304e+00 -4.762234992145075174e-01 -8.793242739717185286e-01
2.608565217391304536e+00 2.480224937854442313e+00 -4.919066321905956052e-01 -8.706479571025858011e-01
2.621942474916387766e+00 2.472510350616212271e+00 -5.071251575533926026e-01 -8.618724236083009638e-01
2.635319732441471441e+00 2.464482599094920623e+00 -5.218837121481912922e-01 -8.530166416866811208e-01
2.648696989966555115e+00 2.456141683290566924e+00 -5.361880570829684611e-01 -8.440985531569114020e-01
2.662074247491638790e+00 2.447487603203152062e+00 -5.500449448408257780e-01 -8.351350541409772177e-01
2.675451505016722464e+00 2.438520358832675150e+00 -5.634619917941977585e-01 -8.261419876772487791e-01
2.688828762541806583e+00 2.429239950179136631e+00 -5.764475571378039342e-01 -8.171341468020156817e-01
2.702206020066889813e+00 2.419646377242536062e+00 -5.890106289176004761e-01 -8.081252867112207472e-01
2.715583277591973044e+00 2.409739640022874774e+00 -6.011607174628068595e-01 -7.991281447800493432e-01
2.728960535117056274e+00 2.399519738520150991e+00 -6.129077568409916354e-01 -7.901544669266534759e-01
2.742337792642140393e+00 2.388986672734365158e+00 -6.242620141371179043e-01 -7.812150393492618417e-01
2.755715050167223623e+00 2.378140442665518162e+00 -6.352340066041620714e-01 -7.723197245012088930e-01
2.769092307692307742e+00 2.366981048313609559e+00 -6.458344267343252287e-01 -7.634775001561902030e-01
2.782469565217391416e+00 2.355508489678638906e+00 -6.560740746914207611e-01 -7.546965009311995543e-01
2.795846822742475091e+00 2.343722766760606646e+00 -6.659637980711220484e-01 -7.459840612631650769e-01
2.809224080267558321e+00 2.331623879559512780e+00 -6.755144383882313308e-01 -7.373467593534485109e-01
2.822601337792641552e+00 2.319211828075356863e+00 -6.847367841075699957e-01 -7.287904613055957714e-01
2.835978595317725670e+00 2.306486612308139783e+00 -6.936415296618531068e-01 -7.203203650656869739e-01
2.849355852842808901e+00 2.293448232257860653e+00 -7.022392398997809870e-01 -7.119410438687868714e-01
2.862733110367893019e+00 2.280096687924519916e+00 -7.105403199058212271e-01 -7.036564884857762214e-01
2.876110367892976694e+00 2.266431979308117128e+00 -7.185549891932709876e-01 -6.954701485365551994e-01
2.889487625418060368e+00 2.252454106408652734e+00 -7.262932604409484405e-01 -6.873849720775516703e-01
2.902864882943143598e+00 2.238163069226127178e+00 -7.337649218887338787e-01 -6.794034437693264872e-01
2.916242140468227273e+00 2.223558867760539570e+00 -7.409795232607849780e-01 -6.715276212548668688e-01
2.929619397993310947e+00 2.208641502011890356e+00 -7.479463647690465233e-01 -6.637591697511743272e-01
2.942996655518394622e+00 2.193410971980179092e+00 -7.546744888526615291e-01 -6.560993948137537890e-01
2.956373913043478296e+00 2.177867277665406220e+00 -7.611726743424938046e-01 -6.485492732509197111e-01
2.969751170568561527e+00 2.162010419067571743e+00 -7.674494327832569462e-01 -6.411094821640505037e-01
2.983128428093645645e+00 2.145840396186675658e+00 -7.735130066294423345e-01 -6.337804261533170891e-01
2.996505685618728876e+00 2.129357209022717967e+00 -7.793713689405677991e-01 -6.265622628882985268e-01
3.009882943143812994e+00 2.112560857575698670e+00 -7.850322246319514363e-01 -6.194549267617532884e-01
3.023260200668896225e+00 2.095451341845617321e+00 -7.905030128366754560e-01 -6.124581509753453945e-01
